# Resultfile Programm VECTO_CSE 2.0.1-beta0 Comp 23/06/2014
# Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_CAL.csdat
#
Time [s],Lat [mm.mm],Long [mm.mm],Heading [¡],v_veh_GPS [km/h],v_veh_CAN [km/h],vair_ar [m/s],beta_ar [¡],n_eng [rpm],tq_l [Nm],tq_r [Nm],t_amb_veh [¡C],t_tire [¡C],Satelites [#],Zone (UTM) [-],Lat (UTM) [m],Long (UTM) [m],Sec_ID [-],Dir_ID [-],Lat (root) [m],Long (root) [m],dist (root) [m],slope_deg [°],altitude [m],v_veh [km/h],dist [m],vair_ic [m/s],vair_uf [m/s],vair [m/s],beta_ic [°],beta_uf [°],beta [°],vwind_ha [m/s],vwind [m/s],vwind 1s [m/s]
41397,2873.80002445544,456.589453663366,45,55.0443564356436,56.6956871287129,10.3564185918812,-1.0009900990099,1950.19801980198,4290.61188118812,4113.10495049505,20,40,10,32,5305750.64082593,396093.23786931,0,0,0,0,0,0,0,55.0443564356435,182.840880693069,20.7128371837624,11.1079041455034,11.9667814465435,-1.0009900990099,-0.986349890080043,-0.733813270898767,4.28431719608003,3.39902446148059,3.39307094591621
41398,2873.80520891089,456.599226831683,45,56.6717722772277,58.3719254455445,10.8191149611881,-1.50257425742574,1664.60396039604,4197.04455445545,3987.6297029703,20,40,10,32,5305760.02502378,396105.585221122,0,0,0,0,0,0,0,56.6717722772277,198.362234625962,21.6382299223762,11.6041748276061,12.4530890062019,-1.50257425742574,-1.48793404849588,-1.1106115887996,4.26401513734433,3.38291753216075,3.33478809246257
41399,2873.81055930693,456.60928039604,45,58.4487821782178,60.2022456435644,11.5811529150495,-1.19465346534653,1482.03465346535,4312.38613861386,4000.26831683168,20,40,10,32,5305769.71033893,396118.28735474,0,0,0,0,0,0,0,58.4487821782177,214.351876375137,23.162305830099,12.4215080081482,13.2030111937566,-1.19465346534653,-1.18001325641668,-0.888834210420616,3.97052526272645,3.15007313307288,3.14806465239701
41400,2873.81607148515,456.619629603961,45,60.0928613861386,61.8956472277228,12.2398388337624,-1.27811881188119,1533.17326732673,4232.04455445545,3948.54356435643,20,40,10,32,5305779.68872898,396131.363121561,0,0,0,0,0,0,0,60.0928613861385,230.81588630363,24.4796776675247,13.1279896921535,13.8576658592922,-1.27811881188119,-1.26347860295133,-0.970432276715146,3.74963665002447,2.97482798583601,2.96200894165842
41401,2873.82174128713,456.630266534654,45,61.7196534653465,63.5712430693069,13.0272304731683,2.2380198019802,1576.66336633663,4145.27128712871,3905.92574257426,20,40,10,32,5305789.95267119,396144.802512131,0,0,0,0,0,0,0,61.7196534653465,247.738494719472,26.0544609463366,13.9725162799788,14.6196931499612,2.2380198019802,2.25266001091005,1.71350692919338,3.43266112138677,2.72335090647408,2.78730010239692
41402,2873.82755683168,456.641186039604,45,63.2767128712871,65.1750142574257,13.0714609462376,-0.236831683168317,1612.51485148515,4050.34752475247,3848.99603960396,20,40,10,32,5305800.48027543,396158.598713042,0,0,0,0,0,0,0,63.276712871287,265.104150082508,26.1429218924753,14.0199562179076,14.7489960275082,-0.236831683168317,-0.222191474238459,-0.176323714572481,3.71779380841642,2.94956501099188,2.91079324079685
41403,2873.83350752475,456.652381485149,45,64.7949207920792,66.7387684158416,13.7132392740594,2.78089108910891,1653.67326732673,3970.08712871287,3768.07722772277,20,40,10,32,5305811.25206904,396172.743103885,0,0,0,0,0,0,0,64.7949207920791,282.895172854785,27.4264785481188,14.7083034573379,15.3805275823672,2.78089108910891,2.79553129803877,2.13169656432282,3.53309216399014,2.80302931376222,2.79731595758354
41404,2873.83958623762,456.663847821782,45,66.2402178217822,68.2274243564356,14.7001089108911,2.48029702970297,1688.75247524752,3860.72079207921,3791.11386138614,20,40,10,32,5305822.25496289,396187.229153263,0,0,0,0,0,0,0,66.2402178217821,301.097414438944,29.4002178217822,15.7667826248976,16.3020289132658,2.48029702970297,2.49493723863282,1.92597290112444,3.00154737215209,2.38132063367587,2.34458785312636
41405,2873.84577415842,456.675594455445,45,67.6936237623762,69.7244324752475,15.5755247524752,-0.20029702970297,1725.31188118812,3882.47821782178,3750.80198019802,20,40,10,32,5305833.45390269,396202.067947518,0,0,0,0,0,0,0,67.6936237623761,319.700636193619,31.1510495049505,16.7057206534739,17.1317796957951,-0.20029702970297,-0.185656820773113,-0.148979249926671,2.49570281552407,1.98000160359598,2.03374099312006
41406,2873.85207673267,456.687614653465,45,69.1105841584158,71.1839016831683,15.2725401540594,0.925841584158416,1763.20792079208,3831.99207920792,3690.88118811881,20,40,10,32,5305844.85912897,396217.2512777,0,0,0,0,0,0,0,69.1105841584157,338.704617161716,30.5450803081188,16.3807507957081,16.9555404625063,0.925841584158416,0.940481793088273,0.725391309399085,3.11586659844715,2.47201743057737,2.4754212701278
