Resultfile Programm VECTO_CSE 2.0.1-pre2 Comp 04/06/2014
Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_LS1.csdat

Time,Lat,Long,Heading,v_veh_GPS,v_veh_CAN,vair_ar,beta_ar,n_eng,tq_l,tq_r,t_amb_veh,t_tire,Satelites,Zone (UTM),Lat (UTM),Long (UTM),Sec_ID,Dir_ID,Lat (root),Long (root),dist (root),slope_deg,altitude,v_veh,dist,vair_ic,vair_uf,vair,beta_ic,beta_uf,beta,vwind_ha,vwind,vwind 1s,omega_wh,omega_p_wh,tq_sum,tq_sum_1s,tq_sum_float,t_float,F_trac,F_acc,F_grd,F_res,v_veh_1s,v_veh_avg,a_veh_avg,v_veh_float,t_amp_stat,p_amp_stat,rh_stat,vair_sq
[s],[mm.mm],[mm.mm],[°],[km/h],[km/h],[m/s],[°],[rpm],[Nm],[Nm],[°C],[°C],[#],[-],[m],[m],[-],[-],[m],[m],[m],[°],[m],[km/h],[m],[m/s],[m/s],[m/s],[°],[°],[°],[m/s],[m/s],[m/s],[rad/s],[rad/s2],[Nm],[Nm],[Nm],[s],[N],[N],[N],[N],[km/h],[km/h],[m/s2],[km/h],[°C],[mbar],[%],[m/s]
44442,2873.94811227723,456.872412772277,45,15.1047524752475,15.557895049505,2.20051485148515,3.06930693069307,751.782913441584,338.143750261386,332.887224542574,20,40,9,32,5306018.61458046,396450.643132544,1,1,5306018.84888187,396450.45225802,26.5085673786129,0,0,15.1047524752475,79.5456565731569,2.20051485148515,2.36018927046997,2.73860496386192,3.06930693069307,3.08394713962292,2.14893580706521,1.8448326296377,1.46362441165969,1.45792994400013,8.74739139986078,0.000106933708155899,671.03097480396,670.148484124047,651.128322980312,5.95840236731468,1398.96995812631,-43.077565673544,0,1398.96995812631,15.1047513969219,15.1047513969219,-0.00172368722020934,15.1012330357779,24.58,1015.3,39.86,7.516510422148
44443,2873.9495390099,456.875037029703,45,15.0995643564357,15.5525512871287,2.15454455445544,3.13455445544554,752.819576510891,338.738469171287,318.201401131683,20,40,9,32,5306021.19872137,396453.959445035,1,1,5306021.50365353,396453.711030894,30.711829594174,0,0,15.0995643564356,83.74076680418,2.15454455445544,2.31088326295241,2.69918899084336,3.13455445544554,3.1491946643754,2.18691952424973,1.8923987499632,1.5013616750612,1.50118581044008,8.75945352238961,-0.000898243169246117,656.939870302971,656.648663125272,650.368916806897,5.96044748735038,1371.98244611903,-14.091306073923,0,1371.98244611903,15.0999206940496,15.0999206940496,-0.000556862616953162,15.1038509100246,24.57,1015.3,39.94,7.30257991933222
44444,2873.9509670297,456.877659009901,45,15.0978217821782,15.5507564356436,2.08885148514852,3.5,753.654053521782,326.702102886139,309.766178173267,20,40,9,32,5306023.78529926,396457.272960724,1,1,5306024.15802783,396456.969315982,34.9144626501845,0,0,15.0978217821782,87.9348217546749,2.08885148514852,2.24042335343723,2.64310722180447,3.5,3.51464020892985,2.41074419337185,1.96263800293474,1.55708699325772,1.54020970722182,8.76916310330444,-0.00106933710459961,636.468281059406,637.03609191647,649.28153455265,5.96113575941211,1330.81979180348,30.3952975300549,0,1330.81979180348,15.1003202627193,15.1003202627193,0.00122400853946972,15.1046237927112,24.56,1015.3,40.02,7.01239477729227
44445,2873.95239326733,456.880285049505,45,15.1107425742574,15.5640648514852,2.22681188118812,3.29831683168317,752.246103314851,313.100831058416,315.336860745544,20,40,9,32,5306026.36848707,396460.591470774,1,1,5306026.81349538,396460.228943068,39.1188266541117,0,0,15.1107425742574,92.1304157590752,2.22681188118812,2.38839447313347,2.76129080742499,3.29831683168317,3.31295704061302,2.3141223003309,1.81883474657284,1.44299861846094,1.45472304425761,8.75278085876106,0.00104795036988063,628.43769180396,629.342478015626,648.836911239624,5.95603595815944,1310.4669958123,5.74046140964327,0,1310.4669958123,15.1072472306637,15.1072472306637,0.000221928133407355,15.1055430450626,24.55,1015.3,40.1,7.6398029952373
44446,2873.95381782178,456.882912772277,45,15.1018217821782,15.5548764356436,2.19267326732673,3.2990099009901,754.010636213862,310.439600276238,329.791788988119,20,40,9,32,5306028.94852134,396463.912018533,1,1,5306029.46870275,396463.488250773,43.3227787108791,0,0,15.1018217821782,96.3265662266218,2.19267326732673,2.35177868292874,2.73171466121849,3.2990099009901,3.31365010991995,2.30568784688527,1.85277503539953,1.46992563312204,1.4709767281777,8.77331213132605,0.00121904429947396,640.231389264357,640.641294557867,649.480093986933,5.95955565696336,1338.96126781751,41.9587234405771,0,1338.96126781751,15.1062392902656,15.1062392902656,0.00166922632857306,15.1121115830805,24.54,1015.3,40.18,7.4718881648531
44447,2873.95523990099,456.885542772277,45,15.1088811881188,15.5621476237624,2.17459405940594,3.41534653465347,754.433388885148,321.165133852475,339.841168529703,20,40,9,32,5306031.52392158,396467.235317665,1,1,5306032.12340881,396466.746943114,47.5259370536683,0,0,15.1088811881188,100.523409845984,2.17459405940594,2.33238760609759,2.71672497607741,3.41534653465347,3.42998674358332,2.38041810997837,1.8741893070548,1.48691495250476,1.47568474949032,8.77823108201643,0.00064160226621587,661.006302382178,660.544461724772,650.588967539427,5.95677657794965,1382.54733506774,-25.1340069346756,0,1382.54733506774,15.1081449857857,15.1081449857857,-0.00101024953980733,15.1107863361821,24.53,1015.3,40.26,7.39908685279192
44448,2873.95665891089,456.888177524753,45,15.1347227722772,15.5887644554455,2.21787128712871,3.31851485148515,754.389275562376,335.416425680198,336.245646171287,20,40,9,32,5306034.09353207,396470.564431697,1,1,5306034.77865267,396470.006295606,51.7299468766084,0,0,15.1347227722772,104.721765869086,2.21787128712871,2.37880512900503,2.75503328206909,3.31851485148515,3.333155060415,2.3212785894095,1.83538465787778,1.45612872783107,1.47950351799837,8.77771780019884,-0.000278027643509395,671.662071851485,670.753099411077,651.221018710647,5.94661488185197,1402.36686498055,317.76247094097,0,1402.36686498055,15.1329680922753,15.1329680922753,0.0127125996700392,15.1094190593651,24.52,1015.3,40.34,7.62049293524345
44449,2873.95808108911,456.890814356436,45,15.1208118811881,15.5743650988119,1.95463366336634,3.5,753.091608662376,340.090903774257,322.310928584158,20,40,9,32,5306036.6689668,396473.896237999,1,1,5306037.43753824,396473.27011836,55.9397225789458,0,0,15.1207428143805,108.927631317984,1.95463366336634,2.09646637779476,2.53023463963893,3.5,3.51464020892985,2.36576843473726,2.11168854392641,1.67533837653325,1.64134069376868,8.7626187601994,-0.00034218787646716,662.401832358416,661.881433206107,650.701172352068,5.95213120405272,1381.90229784723,-517.342442971804,0,1381.90229784723,15.1194178967206,15.1194178967206,-0.0206911202943795,15.1107915133631,24.51,1015.3,40.42,6.41949404361016
44450,2873.95949960396,456.893441782178,45,15.0762871287129,15.5285757425743,2.16318811881188,2.89990099009901,752.41888050396,330.890874534653,310.848530854456,20,40,9,32,5306039.2378278,396477.216203178,1,1,5306040.08800314,396476.523604612,60.1361659523205,0,0,15.0762871287129,113.119181310491,2.16318811881188,2.32015402421944,2.70527509061999,2.89990099009901,2.91454119902886,2.02488060066319,1.87613544835967,1.48845895160613,1.48969685413085,8.75479121264259,-0.00115488407803653,641.739405389109,642.086032104294,649.569468242731,5.96965508868496,1341.59806932703,128.007311358873,0,1341.59806932703,15.0815183805509,15.0815183805509,0.0051288544696065,15.1114230465122,24.5012623762376,1015.3,40.489900990099,7.34585187910191
44451,2873.96091673267,456.896073366337,45,15.1177920792079,15.5713258415842,2.34136633663366,3.25534653465346,754.495882755445,316.274802417822,312.396928593069,20,40,9,32,5306041.80403015,396480.541299218,1,1,5306042.73991992,396479.778873065,64.3349080621638,0,0,15.1177920792079,117.312877625122,2.34136633663366,2.5112612633506,2.85916451115011,3.25534653465346,3.26998674358332,2.31191391353988,1.69946369057517,1.34829388004893,1.35608477239731,8.77895823121576,0.000577442039018259,628.671731010891,629.566696590776,648.82602942879,5.95326652122925,1314.2551798229,128.465120159617,0,1314.2551798229,15.1138201156749,15.1138201156749,0.00513430055876834,15.1099016443248,24.5,1015.3,40.5,8.21524653596342
